unit,age,sex,geography,date,value
RT,TOTAL,C,M,2012,486.4
RT,TOTAL,C,M,2012,504.43
RT,TOTAL,C,M,2012,355.6
RT,TOTAL,C,M,2012,290.42
RT,TOTAL,C,M,2012,351.76
RT,TOTAL,C,M,2012,230.75
RT,TOTAL,C,M,2012,441.31
RT,TOTAL,C,M,2012,339.35
RT,TOTAL,C,M,2012,486.69
RT,TOTAL,C,M,2012,326.14
RT,TOTAL,C,M,2012,382.51
RT,TOTAL,C,M,2012,328.63
RT,TOTAL,C,M,2012,423.2
RT,TOTAL,C,M,2012,353.55
RT,TOTAL,C,M,2012,374.64
RT,TOTAL,C,M,2012,392.71
RT,TOTAL,C,M,2012,288.39
RT,TOTAL,C,M,2012,436.72
RT,TOTAL,C,M,2012,461.21
RT,TOTAL,C,M,2012,285.4
RT,TOTAL,C,M,2012,352.29
RT,TOTAL,C,T,2012,255.56
RT,TOTAL,C,T,2012,260.12
RT,TOTAL,C,T,2012,248.68
RT,TOTAL,C,T,2012,225.09
RT,TOTAL,C,T,2012,205.86
RT,TOTAL,C,T,2012,298.33
RT,TOTAL,C,T,2012,259.02
RT,TOTAL,C,T,2012,315.4
RT,TOTAL,C,T,2012,291.94
RT,TOTAL,C,T,2012,248.44
RT,TOTAL,C,T,2012,242.66
RT,TOTAL,C,T,2012,266.32
RT,TOTAL,C,T,2012,268.24
RT,TOTAL,C,T,2012,223.67
RT,TOTAL,C,T,2012,250.52
RT,TOTAL,C,T,2012,336.51
RT,TOTAL,C,T,2012,361.08
RT,TOTAL,C,T,2012,287.66
RT,TOTAL,C,T,2012,254.99
RT,TOTAL,C,T,2012,258.13
RT,TOTAL,C,T,2012,191.42
RT,TOTAL,C,T,2012,278.14
RT,TOTAL,C,T,2012,265.8
RT,TOTAL,C,T,2012,305.34
RT,TOTAL,C,T,2012,254.83
RT,TOTAL,C,T,2012,297.52
RT,TOTAL,C,T,2012,259.49
RT,TOTAL,C,T,2012,299.98
RT,TOTAL,C,T,2012,244.62
RT,TOTAL,C,T,2012,268.56
RT,TOTAL,C,T,2012,301.31
RT,TOTAL,C,T,2012,239.38
RT,TOTAL,C,T,2012,305.42
RT,TOTAL,C,T,2012,319.62
RT,TOTAL,C,T,2012,193.1
RT,TOTAL,C,T,2012,286.7
RT,TOTAL,C,F,2013,198.24
RT,TOTAL,C,F,2013,200.54
RT,TOTAL,C,F,2013,175.17
RT,TOTAL,C,F,2013,176.4
RT,TOTAL,C,F,2013,151.02
RT,TOTAL,C,F,2013,223.48
RT,TOTAL,C,F,2013,205.37
RT,TOTAL,C,F,2013,258.44
RT,TOTAL,C,F,2013,207.27
RT,TOTAL,C,F,2013,175.91
RT,TOTAL,C,F,2013,160.37
RT,TOTAL,C,F,2013,197.77
RT,TOTAL,C,F,2013,201.49
RT,TOTAL,C,F,2013,182.04
RT,TOTAL,C,F,2013,176.95
RT,TOTAL,C,F,2013,242.5
RT,TOTAL,C,F,2013,268.56
RT,TOTAL,C,F,2013,243.99
RT,TOTAL,C,F,2013,221.16
RT,TOTAL,C,F,2013,189.96
RT,TOTAL,C,F,2013,254.04
RT,TOTAL,C,F,2013,192.18
RT,TOTAL,C,F,2013,196.34
RT,TOTAL,C,F,2013,215.54
RT,TOTAL,C,F,2013,186.52
RT,TOTAL,C,F,2013,233.12
RT,TOTAL,C,F,2013,210.32
RT,TOTAL,C,F,2013,219.75
RT,TOTAL,C,F,2013,167.38
RT,TOTAL,C,F,2013,194.07
RT,TOTAL,C,F,2013,228.97
RT,TOTAL,C,F,2013,207.8
RT,TOTAL,C,F,2013,234.73
RT,TOTAL,C,F,2013,234.39
RT,TOTAL,C,F,2013,128.65
RT,TOTAL,C,F,2013,236.4
RT,TOTAL,C,M,2013,329.82
